"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"log_lambda[23]",-1.09929067652348,0.00114335422628283,0.22997474604972,-1.70795158438575,-1.55518171616921,-1.25285997876009,-1.09724079325709,-0.943696332409989,-0.654463415133651,-0.517376044268205,40457.4674200633,0.999974271581689
"log_lambda[24]",-2.99436926648514,0.00120542114507087,0.242870560379979,-3.63801064849051,-3.47896821328191,-3.15565556977755,-2.99349550034187,-2.82796704882295,-2.5273231335156,-2.39025121161505,40594.9619683053,0.999968390522626
"log_lambda[25]",4.93869362460254,0.000612153451118457,0.122124093442596,4.62561779088493,4.70453157997807,4.85624868525219,4.93717916412256,5.01901876035349,5.18298873583058,5.26443580884584,39799.911029899,0.999990758167554
"log_lambda[26]",3.04361503464088,0.000661850188426951,0.131754086978196,2.70368306827794,2.78700089643975,2.95484859846011,3.04203403631157,3.13061523118663,3.30546660343376,3.39544510890298,39628.6062120872,0.999989068159751
"log_lambda[27]",2.45808790106149,0.000690779787815574,0.138184272479319,2.10664731331942,2.18915600621765,2.36463028575894,2.45714566718822,2.55018173162707,2.73269606210777,2.82154930013379,40016.3975948686,0.999934618399515
"log_lambda[28]",0.563009311099834,0.000768695516159613,0.154083009634056,0.171843653869153,0.263850374997135,0.458758795739984,0.562412853097769,0.665909321355445,0.868972850919841,0.968161457504081,40179.1560092601,0.999947510675356
"log_lambda[29]",5.57153124843977,0.000599392396569422,0.119059318826373,5.27058986239953,5.3410982477655,5.49058242135194,5.57058876175589,5.65085324504027,5.80778699149171,5.88639300901739,39455.2071564372,0.999984512122749
"log_lambda[30]",3.67645265847811,0.000651260791993398,0.130396929329202,3.34605011177946,3.42380034936379,3.5885383332666,3.67510560419745,3.7640979159911,3.93575299303058,4.0195101904827,40088.9667465529,1.00000072028831
"log_lambda[31]",2.09981912687534,0.000709597657289626,0.140841218188999,1.73230343020667,1.82190541588903,2.00541573521404,2.09856996299822,2.19458459302501,2.37557225813898,2.4647344169288,39394.4643346277,0.999955122770949
"log_lambda[32]",0.204740536913686,0.00078481778421167,0.156424915838421,-0.206195988930335,-0.102318682850107,0.100070034129105,0.204664681424452,0.309834517557364,0.511327173345301,0.612094974853499,39725.9405654904,0.999981612097003
"log_lambda[33]",8.30960694202675,0.00054302348992287,0.108643832392421,8.0391151038894,8.10209430536033,8.23556605148929,8.30772602266989,8.3816160313204,8.52783249327854,8.59983213136912,40028.8322397704,1.00006241505759
"log_lambda[34]",6.41452835206509,0.000533433135634193,0.10549472022524,6.14658444012404,6.21038943738518,6.34308461026919,6.41307085428869,6.48435997224247,6.6245724160606,6.69894853741404,39111.2296491042,0.999975749620383
"log_lambda[35]",5.8290012184857,0.000596793703415376,0.11811944699511,5.5283141353169,5.59974299057059,5.74952493215497,5.82842330216193,5.90712501446762,6.06436768102852,6.13848086690691,39173.6776511782,0.999979749010978
"log_lambda[36]",3.93392262852404,0.000623694867622471,0.124417413965599,3.62083192462754,3.69525860518563,3.84963189670296,3.93206506778188,4.01673324958979,4.1808180357702,4.26307068312011,39794.0370473634,0.999920234027746
"log_lambda[37]",8.94244456586397,0.000534071093444074,0.107676637856447,8.67211276169776,8.73556832978153,8.86939559083484,8.94025285148816,9.01396474941264,9.15920371137483,9.22764908575634,40648.5284593364,1.00004552644404
"log_lambda[38]",7.04736597590232,0.000530049190329558,0.106317000340302,6.77870450180621,6.84283266485216,6.97567642400832,7.04536734521546,7.117705813843,7.26099970582031,7.33329700227865,40232.1348882808,0.999982747969633
"log_lambda[39]",5.47073244429955,0.000580478230921393,0.116664212110614,5.17372010846384,5.2432426270032,5.39205955715942,5.46985429439018,5.54843886109242,5.70338189275503,5.78010419260795,40392.7507638881,1.00004684982423
"log_lambda[40]",3.57565385433789,0.00061347291576076,0.12297907295021,3.25849067264382,3.33809875689468,3.49281296681658,3.57405897426298,3.65788917018634,3.82100485252284,3.89989324618533,40185.7096615132,1.00000815288755
"log_lambda[41]",6.40704593134788,0.00053848501993161,0.107276388587641,6.13333914100705,6.19861849531525,6.334192331635,6.40531867741685,6.47874111841014,6.6195323333705,6.68954841505701,39688.1666028598,1.00003809453161
