"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"log_lambda[48]",1.84804821859286,9.5171017345155e-05,0.0189038646584313,1.79878967072564,1.81059798406279,1.83550907538626,1.8481851757137,1.86067143789966,1.88521659321639,1.89629585979144,39454.0667546809,0.99995501974877
"log_lambda[49]",1.59093414391739,0.000155722499632176,0.03161773394556,1.50884482487146,1.52888110431752,1.56951314897212,1.5911879840476,1.61233541217457,1.65194810698586,1.67136923715974,41224.8181608529,0.999999408657416
"log_lambda[50]",-0.413250738489117,0.000160559411042297,0.0324627925527418,-0.497420712890616,-0.476673182562078,-0.435319907610479,-0.412971339469962,-0.39124940926856,-0.350265684528053,-0.330006260247472,40878.99593238,1.00000032034084
"log_lambda[51]",-0.942275015785533,0.000179239532861869,0.0360930871240083,-1.03610119182817,-1.01312849018224,-0.966643006601412,-0.941780845193803,-0.917662285713466,-0.872813463125561,-0.851727816560851,40549.0284420534,1.00001852234241
"log_lambda[52]",-2.94645989819204,0.000182707016672554,0.0368176840961521,-3.04279658044084,-3.01824763511603,-2.97154672468874,-2.94606407524519,-2.92143212556451,-2.87557699081237,-2.85321076032659,40607.1473616846,1.00002346210027
"log_lambda[53]",2.53406030381495,0.000154508812740126,0.0313277944039282,2.4533923771507,2.47236896637483,2.51275026938983,2.5344056983243,2.555415965256,2.59434957234113,2.61377677377811,41110.5350557806,0.999996052527372
"log_lambda[54]",0.529875421408446,0.000159457783221922,0.0321858966633132,0.445940061736008,0.467000883808058,0.50812436091268,0.53014440598855,0.551818330751592,0.592295326753917,0.612078968002232,40741.7594907852,1.00000056222386
"log_lambda[55]",-0.857920591031555,0.000176861919143083,0.0356878064244155,-0.952022008079338,-0.927971750942541,-0.882071197428583,-0.857910337081611,-0.833747865400483,-0.788440268267452,-0.766511146444606,40716.5566005549,0.999983521860099
"log_lambda[56]",-2.86210547343806,0.000181849355533733,0.0364318247286536,-2.95670574953688,-2.93326886635534,-2.88670218755091,-2.86198585300173,-2.83748569444273,-2.79119042245357,-2.76718418954148,40136.3906704707,0.999993679427547
"log_lambda[57]",-1.45350125161656,0.000620374453133663,0.144076486972167,-1.84744380855849,-1.74396332343421,-1.54900256716356,-1.45024422106839,-1.35474621727531,-1.18110738563523,-1.10186688700612,53935.9596490862,1.00003270253146
